city,cloudiness,country,date,humidity,lat,lon,temp_k,wind_speed
Hajnówka,0,PL,1584998796,63,52.74,23.58,269.69,2.01
Jiuquan,58,CN,1584998797,35,39.74,98.52,276.92,1.96
Ushuaia,75,AR,1584998798,67,-54.8,-68.3,287.15,9.8
Cherskiy,100,RU,1584998799,93,68.75,161.3,262.92,4.16
Punta Arenas,97,CL,1584998642,72,-53.15,-70.92,287.94,7.2
Khatanga,93,RU,1584998802,98,71.97,102.5,245.32,4.01
Margate,16,GB,1584998803,86,51.38,1.39,279.5,2.1
Hermanus,100,ZA,1584998804,81,-34.42,19.23,290.06,0.45
Vardø,100,NO,1584998805,69,70.37,31.11,276.15,8.7
Airai,34,TL,1584998806,79,-8.93,125.41,290.92,2.03
Cape Town,100,ZA,1584998663,82,-33.93,18.42,291.28,5.7
Lebu,100,CL,1584998808,98,-37.62,-73.65,287.12,4.55
Faanui,23,PF,1584998809,65,-16.48,-151.75,301.62,0.31
Port Hardy,75,CA,1584998810,80,50.7,-127.42,278.15,2.6
Hobart,20,AU,1584998811,81,-42.88,147.33,280.83,4.1
Arrondissement de Provins,0,FR,1584998812,41,48.58,3.17,278.31,3.6
Auki,97,SB,1584998813,63,-8.77,160.7,301.62,0.88
São Filipe,11,CV,1584998814,76,14.9,-24.5,293.42,7.33
Lorengau,100,PG,1584998815,81,-2.02,147.27,300.52,4.63
Lavrentiya,100,RU,1584998820,92,65.58,-171.0,272.02,5.61
Yangi Marg`ilon,100,UZ,1584998821,71,40.43,71.72,286.15,0.55
Atuona,0,PF,1584998822,77,-9.8,-139.03,301.02,4.82
Dikson,100,RU,1584998823,94,73.51,80.55,270.32,7.7
Tuatapere,100,NZ,1584998824,89,-46.13,167.68,282.59,5.36
Busselton,62,AU,1584998825,42,-33.65,115.33,291.58,4.01
Albany,90,US,1584998826,92,42.6,-73.97,272.6,3.6
Twentynine Palms,1,US,1584998827,24,34.14,-116.05,292.07,6.2
Rikitea,100,PF,1584998828,75,-23.12,-134.97,298.72,0.96
Thompson,40,CA,1584998829,42,55.74,-97.86,272.15,3.1
Ust'-Koksa,98,RU,1584998830,97,50.27,85.61,258.02,1.37
Broken Hill,100,AU,1584998831,33,-31.95,141.43,287.15,2.1
Ozernovskiy,65,RU,1584998832,92,51.5,156.52,272.92,5.5
Chokurdakh,76,RU,1584998833,99,70.63,147.92,247.02,3.3
Mahabalipuram,40,IN,1584998834,83,12.63,80.17,299.62,1.5
Puerto Ayora,20,EC,1584998835,70,-0.74,-90.35,301.05,5.1
Jumla,49,NP,1584998836,40,29.27,82.18,273.82,2.51
Kapaa,90,US,1584998837,61,22.08,-159.32,298.28,10.3
Qaanaaq,100,GL,1584998839,92,77.48,-69.36,254.72,1.27
Cockburn Town,40,TC,1584998840,69,21.46,-71.14,298.15,7.7
